,Date,Time,Type,Opponent,Rank,Ranked Match,Conf,SRS,Result,PF,PA,W,L,Home Game,Win Streak,Lose Streak,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF
0,2023-11-06,8:00p,REG,Eastern Illinois,,False,OVC,-11.6,W,80,52,1,0,True,1,0,29,58,0.5,10,31,0.323,12,23,0.522,8,46,15,4,5,12,13,20,69,0.29,4,11,0.364,8,16,0.5,10,34,7,4,2,7,22
1,2023-11-10,8:00p,REG,Oakland,,False,Horizon,2.02,W,64,53,2,0,True,2,0,26,55,0.473,4,16,0.25,8,16,0.5,8,33,13,3,2,9,8,21,56,0.375,5,20,0.25,6,9,0.667,7,31,4,7,1,7,16
2,2023-11-14,8:00p,REG,Marquette,4.0,True,Big East,19.27,L,64,71,2,1,True,0,1,21,60,0.35,11,33,0.333,11,13,0.846,11,37,8,6,7,15,15,27,62,0.435,5,17,0.294,12,20,0.6,9,36,7,9,0,8,14
3,2023-11-17,8:00p,REG,Valparaiso,,False,MVC,-8.25,W,87,64,3,1,True,1,0,33,75,0.44,9,28,0.321,12,24,0.5,13,56,16,4,4,9,16,24,80,0.3,5,19,0.263,11,15,0.733,13,47,4,4,7,7,21
4,2023-11-19,8:00p,REG,Southern,,False,SWAC,-8.74,W,88,60,4,1,True,2,0,36,63,0.571,5,22,0.227,11,17,0.647,15,48,18,4,3,21,12,23,61,0.377,5,24,0.208,9,14,0.643,4,16,10,13,1,12,14
5,2023-11-24,9:00p,REG,Western Illinois,,False,OVC,-8.75,W,84,52,5,1,True,3,0,34,72,0.472,10,25,0.4,6,12,0.5,14,48,9,5,9,8,8,21,72,0.292,6,25,0.24,4,8,0.5,9,31,6,5,5,10,15
6,2023-12-02,4:00p,REG,Rutgers,,False,Big Ten,7.41,W,76,58,6,1,False,4,0,30,66,0.455,9,21,0.429,7,11,0.636,14,49,12,3,4,15,20,20,60,0.333,6,13,0.462,12,20,0.6,6,23,9,9,9,10,17
7,2023-12-05,6:30p,REG,Florida Atlantic,11.0,True,AAC,13.26,W,98,89,7,1,False,5,0,36,57,0.632,8,20,0.4,18,20,0.9,4,23,10,4,3,13,18,31,64,0.484,9,23,0.391,18,22,0.818,10,26,23,7,1,13,16
8,2023-12-09,12:00p,REG,Tennessee,17.0,True,SEC,21.81,L,79,86,7,2,False,0,1,23,65,0.354,9,36,0.25,24,28,0.857,8,30,9,5,2,8,22,27,60,0.45,6,18,0.333,26,34,0.765,12,39,21,6,3,8,20
9,2023-12-17,1:00p,REG,Colgate,,False,Patriot,-0.31,W,74,57,8,2,True,1,0,23,55,0.418,8,23,0.348,20,22,0.909,12,39,10,5,6,13,11,26,61,0.426,3,15,0.2,2,6,0.333,6,23,10,4,1,11,18
